リポジトリ名,GitHub URL,名前A,ドメイン1,ドメイン2,ドメイン3,名前B,ドメイン1,ドメイン2,ドメイン3,Description,説明文
selenide/selenide,https://github.com/selenide/selenide,k-nishiura,Testing,,,,,,,Concise UI Tests with Java!,Javaによる簡潔なUIテスト！
serenity-bdd/serenity-core,https://github.com/serenity-bdd/serenity-core,k-nishiura,Testing,,,,,,,Serenity BDD is a test automation library designed to make writing automated acceptance tests easier - and more fun.,Serenity BDDは、自動化された受け入れテストの作成をより簡単に、より楽しくするために設計されたテスト自動化ライブラリです。
shazam/fork,https://github.com/shazam/fork,k-nishiura,Testing,Android,,,,,,A library that offers the fastest way to execute Android instrumentation tests.,Androidインストルメンテーションテストを実行する最速の方法を提供するライブラリ。
SpectoLabs/hoverfly-java,https://github.com/SpectoLabs/hoverfly-java,k-nishiura,Testing,Network,,,,,,Java binding for Hoverfly,HoverflyのJavaバインディング
springtestdbunit/spring-test-dbunit,https://github.com/springtestdbunit/spring-test-dbunit,k-nishiura,Testing,Database,,,,,,Integration between the Spring testing framework and DBUnit,SpringテストフレームワークとDBUnitの統合
square/burst,https://github.com/square/burst,k-nishiura,Testing,,,,,,,A unit testing library for varying test data.,さまざまなテストデータ用の単体テストライブラリ。
tdunning/log-synth,https://github.com/tdunning/log-synth,k-nishiura,Testing,Data,,,,,,Generates more or less realistic log data for testing simple aggregation queries.,単純な集計クエリをテストするために、多少現実的なログデータを生成します。
testcontainers/testcontainers-java,https://github.com/testcontainers/testcontainers-java,k-nishiura,Testing,,,,,,,Testcontainers is a Java library that supports JUnit tests - providing lightweight - throwaway instances of common databases - Selenium web browsers - or anything else that can run in a Docker container.,Testcontainersは、JUnitテストをサポートするJavaライブラリです-軽量-一般的なデータベースの使い捨てインスタンス-Selenium Webブラウザ-またはDockerコンテナで実行できる他のあらゆるものを提供します。
thucydides-webtests/thucydides,https://github.com/thucydides-webtests/thucydides,k-nishiura,Testing,,,,,,,Thucydides is a tool that lets you use WebDriver-based unit or BDD tests to write more flexible and more reusable WebDriver-based tests - and also to generate documentation about your acceptance tests - including a narrative description of test - along with the corresponding screen shots - and also high-level summaries and aggregations of the test results,Thucydidesは、WebDriverベースのユニットまたはBDDテストを使用して、より柔軟で再利用可能なWebDriverベースのテストを記述できるツールです。 -また、テスト結果の高レベルの要約と集計
thyrlian/AwesomeValidation,https://github.com/thyrlian/AwesomeValidation,k-nishiura,Testing,Android,,,,,,Android validation library which helps developer boil down the tedious work to three easy steps.,開発者が退屈な作業を3つの簡単なステップに要約できるようにするAndroid検証ライブラリ。
TNG/junit-dataprovider,https://github.com/TNG/junit-dataprovider,k-nishiura,Testing,,,,,,,A TestNG like dataprovider runner for JUnit with many additional features,多くの追加機能を備えたJUnitのデータプロバイダーランナーのようなTestNG
unclebob/fitnesse,https://github.com/unclebob/fitnesse,k-nishiura,Testing,,,,,,,FitNesse -- The Acceptance Test Wiki,FitNesse-受け入れテストWiki
VictorAlbertos/Mockery,https://github.com/VictorAlbertos/Mockery,k-nishiura,Testing,Android,,,,,,Android and Java library for mocking and testing networking layers with built-in support for Retrofit.,Retrofitの組み込みサポートを備えたネットワークレイヤーのモックとテスト用のAndroidおよびJavaライブラリ。
wix/petri,https://github.com/wix/petri,k-nishiura,Testing,,,,,,,Wix experiment system (A/B test and feature toggle framework),Wix実験システム（A / Bテストおよび機能切り替えフレームワーク）
xmlunit/xmlunit,https://github.com/xmlunit/xmlunit,k-nishiura,Testing,Document,,,,,,XMLUnit for Java 2.x,XMLUnit for Java 2.x
0opslab/opslabJutil,https://github.com/0opslab/opslabJutil,k-nishiura,Utility,,,,,,,Java utils,Javaユーティリティ
Activiti/Activiti,https://github.com/Activiti/Activiti,k-nishiura,Utility,,,,,,,Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people - developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application - on a server - on a cluster or in the cloud. It integrates perfectly with Spring - it is extremely lightweight and based on simple concepts.,Activitiは、開発者およびシステム管理者であるビジネスマンを対象とした軽量のワークフローおよびビジネスプロセス管理（BPM）プラットフォームです。そのコアは、Java用の超高速で堅牢なBPMN 2プロセスエンジンです。これはオープンソースであり、Apacheライセンスの下で配布されています。 Activitiは、任意のJavaアプリケーション（サーバー、クラスター、またはクラウド）で実行されます。 Springと完全に統合されます-非常に軽量で、シンプルなコンセプトに基づいています。
alibaba/easyexcel,https://github.com/alibaba/easyexcel,k-nishiura,Utility,,,,,,,快速、简单避免OOM的java处理Excel工具,快速、简单回避OOMのjava処理理Excelツール
androidthings/contrib-drivers,https://github.com/androidthings/contrib-drivers,k-nishiura,Utility,,,,,,,Open source peripheral drivers,オープンソースの周辺機器ドライバー
anthonyraymond/joal,https://github.com/anthonyraymond/joal,k-nishiura,Utility,Web,,,,,,An open source command line RatioMaster with an optional WebUI.,オプションのWebUIを備えたオープンソースのコマンドラインRatioMaster。
apache/commons-beanutils,https://github.com/apache/commons-beanutils,k-nishiura,Utility,Programing,,,,,,Apache Commons Beanutils,Apache Commons Beanutils
apache/commons-cli,https://github.com/apache/commons-cli,k-nishiura,Utility,,,,,,,Mirror of Apache Commons CLI,Apache Commons CLIのミラー
apache/commons-compress,https://github.com/apache/commons-compress,k-nishiura,Utility,Data,,,,,,Mirror of Apache Commons Compress,Apache Commons Compressのミラー
apache/commons-io,https://github.com/apache/commons-io,k-nishiura,Utility,Data,,,,,,Mirror of Apache Commons IO,Apache Commons IOのミラー
apache/ranger,https://github.com/apache/ranger,k-nishiura,Utility,,,,,,,Mirror of Apache Ranger,Apache Rangerのミラー
biezhi/excel-plus,https://github.com/biezhi/excel-plus,k-nishiura,Utility,,,,,,,❇️ Improve the productivity of the Excel operation library. https://git.io/vNjQy,❇️Excel操作ライブラリの生産性を向上させます。 https://git.io/vNjQy
camunda/camunda-bpm-platform,https://github.com/camunda/camunda-bpm-platform,k-nishiura,Utility,,,,,,,Flexible framework for workflow and decision automation,ワークフローと意思決定の自動化のための柔軟なフレームワーク
cbeust/jcommander,https://github.com/cbeust/jcommander,k-nishiura,Utility,,,,,,,Command line parsing framework for Java,Java用のコマンドライン解析フレームワーク
crashub/crash,https://github.com/crashub/crash,k-nishiura,Utility,,,,,,,The shell for the Java Platform,Javaプラットフォームのシェル
davidmoten/rxjava-extras,https://github.com/davidmoten/rxjava-extras,k-nishiura,Utility,,,,,,,Utilities for use with rxjava,rxjavaで使用するユーティリティ
facebookincubator/Battery-Metrics,https://github.com/facebookincubator/Battery-Metrics,k-nishiura,Utility,,,,,,,Library that helps in instrumenting battery related system metrics.,バッテリー関連のシステムメトリックの計測に役立つライブラリ。
google/mug,https://github.com/google/mug,k-nishiura,Utility,,,,,,,,
graalvm/simplelanguage,https://github.com/graalvm/simplelanguage,k-nishiura,Utility,Programing,,,,,,A simple example language built using the Truffle API.,Truffle APIを使用して構築された簡単なサンプル言語。
greenrobot/essentials,https://github.com/greenrobot/essentials,k-nishiura,Utility,Android,,,,,,General purpose utilities and hash functions for Android and Java (aka java-common),AndroidおよびJava（別名java-common）用の汎用ユーティリティとハッシュ関数
hidroh/calendar,https://github.com/hidroh/calendar,k-nishiura,Utility,Multimedia,,,,,,Simple event calendar - with agenda view,シンプルなイベントカレンダー-アジェンダビュー付き
HubSpot/jinjava,https://github.com/HubSpot/jinjava,k-nishiura,Utility,,,,,,,Jinja template engine for Java,Java用のJinjaテンプレートエンジン
indeedeng/util,https://github.com/indeedeng/util,k-nishiura,Utility,,,,,,,Useful Java utilities,便利なJavaユーティリティ
javalite/activejdbc,https://github.com/javalite/activejdbc,k-nishiura,Utility,,,,,,,JavaLite is a cohesive collection of frameworks designed from ground up to add pleasure back to your daily life,JavaLiteは、日常生活に喜びを追加するためにゼロから設計された、まとまりのあるフレームワークのコレクションです。
jberkel/sms-backup-plus,https://github.com/jberkel/sms-backup-plus,k-nishiura,Utility,,,,,,,Backup Android SMS - MMS and call log to Gmail / Gcal / IMAP,Android SMSのバックアップ-MMSと通話記録をGmail / Gcal / IMAPに
jline/jline2,https://github.com/jline/jline2,k-nishiura,Utility,Development,,,,,,Jline 2.x,Jline 2.x
jmrozanec/cron-utils,https://github.com/jmrozanec/cron-utils,k-nishiura,Utility,,,,,,,Cron utils for parsing - validations and human readable descriptions as well as date/time interoperability.,解析用のcronユーティリティ-検証と人間が読める記述、日付/時刻の相互運用性。
jprante/elasticsearch-knapsack,https://github.com/jprante/elasticsearch-knapsack,k-nishiura,Utility,,,,,,,Knapsack plugin is an import/export tool for Elasticsearch,KnapsackプラグインはElasticsearchのインポート/エクスポートツールです
jvm-profiling-tools/honest-profiler,https://github.com/jvm-profiling-tools/honest-profiler,k-nishiura,Utility,,,,,,,A sampling JVM profiler without the safepoint sample bias,セーフポイントサンプルバイアスのないサンプリングJVMプロファイラー
knightliao/common-utils,https://github.com/knightliao/common-utils,k-nishiura,Utility,Programing,,,,,,useful - powerful - widely Java Utils Library,有用-強力-広くJava Utilsライブラリ
lenskit/lenskit,https://github.com/lenskit/lenskit,k-nishiura,Utility,,,,,,,LensKit recommender toolkit.,LensKitレコメンダーツールキット。
mangstadt/biweekly,https://github.com/mangstadt/biweekly,k-nishiura,Utility,,,,,,,biweekly is an iCalendar library written in Java.,biweeklyはJavaで書かれたiCalendarライブラリです。
MenoData/Time4J,https://github.com/MenoData/Time4J,k-nishiura,Utility,,,,,,,Advanced date - time and interval library for Java with sun/moon-astronomy and calendars like Chinese - Coptic - Ethiopian - French Republican - Hebrew - Hijri - Historic Christian - Indian National - Japanese - Julian - Korean - Minguo - Persian - Thai - Vietnamese,高度な日付-太陽/月天文学と中国語のようなカレンダーを備えたJavaの時間と間隔ライブラリ-コプト語-エチオピア語-フランス共和党-ヘブライ語-イスラム教-歴史的キリスト教-インド国民-日本語-ジュリアン-韓国語-民国-ペルシャ語-タイ語-ベトナム語
mercyblitz/confucius-commons,https://github.com/mercyblitz/confucius-commons,k-nishiura,Utility,,,,,,,Confucius Commons project is focus on Java commons utility library  - it's not a duplicate for Apache Commons or Spring  - but supplement. Required : SUN JDK 6+,Confucius CommonsプロジェクトはJava commonsユーティリティライブラリに焦点を当てています-Apache CommonsやSpringの複製ではなく、補足です。必須：SUN JDK 6+
metawidget/metawidget,https://github.com/metawidget/metawidget,k-nishiura,Utility,,,,,,,Metawidget is a smart User Interface widget that populates itself - either statically or at runtime - with UI components to match the properties of your business objects.,Metawidgetは、静的または実行時に、ビジネスオブジェクトのプロパティに一致するUIコンポーネントを使用して、それ自体を読み込むスマートユーザーインターフェイスウィジェットです。
michel-kraemer/gradle-download-task,https://github.com/michel-kraemer/gradle-download-task,k-nishiura,Utility,,,,,,,Adds a download task to Gradle that displays progress information,進行状況情報を表示するダウンロードタスクをGradleに追加します
myrrix/myrrix-recommender,https://github.com/myrrix/myrrix-recommender,k-nishiura,Utility,,,,,,,Stand-alone recommender system from Myrrix,Myrrixのスタンドアロンレコメンダーシステム
Netflix/netflix-commons,https://github.com/Netflix/netflix-commons,k-nishiura,Utility,,,,,,,Common utilities for Netflix OSS projects,Netflix OSSプロジェクトの一般的なユーティリティ
notnoop/java-apns,https://github.com/notnoop/java-apns,k-nishiura,Utility,,,,,,,Java Apple Push Notification Service Provider,Java Appleプッシュ通知サービスプロバイダー
ocpsoft/prettytime,https://github.com/ocpsoft/prettytime,k-nishiura,Utility,,,,,,,Social Style Date and Time Formatting for Java,Javaのソーシャルスタイルの日付と時刻の書式設定
PebbleTemplates/pebble,https://github.com/PebbleTemplates/pebble,k-nishiura,Utility,,,,,,,Java Template Engine,Javaテンプレートエンジン
poidasmith/winrun4j,https://github.com/poidasmith/winrun4j,k-nishiura,Utility,,,,,,,WinRun4J Java Application Launcher,WinRun4J Javaアプリケーションランチャー
relayrides/pushy,https://github.com/relayrides/pushy,k-nishiura,Utility,Web,,,,,,A Java library for sending APNs (iOS/macOS/Safari) push notifications,APN（iOS / macOS / Safari）プッシュ通知を送信するためのJavaライブラリ
scobal/seyren,https://github.com/scobal/seyren,k-nishiura,Utility,,,,,,,An alerting dashboard for Graphite,Graphiteのアラートダッシュボード
snakerflow/snakerflow,https://github.com/snakerflow/snakerflow,k-nishiura,Utility,,,,,,,简单、轻巧、灵活的工作流引擎,简单、轻巧、灵活的作業流引
spring-projects/spring-shell,https://github.com/spring-projects/spring-shell,k-nishiura,Utility,,,,,,,Spring based interactive shell,Springベースのインタラクティブシェル
svendiedrichsen/jollyday,https://github.com/svendiedrichsen/jollyday,k-nishiura,Utility,,,,,,,Jollyday - A holiday API,Jollyday-ホリデーAPI
termd/termd,https://github.com/termd/termd,k-nishiura,Utility,,,,,,,An open source terminal daemon library providing terminal handling in Java under ASL 2.0,ASL 2.0でのJavaのターミナル処理を提供するオープンソースのターミナルデーモンライブラリ
ThreeTen/threeten-extra,https://github.com/ThreeTen/threeten-extra,k-nishiura,Utility,Programing,,,,,,Provides additional date-time classes that complement those in JDK 8,JDK 8のクラスを補完する追加の日時クラスを提供します
ThreeTen/threetenbp,https://github.com/ThreeTen/threetenbp,k-nishiura,Utility,,,,,,,Backport of functionality based on JSR-310 to Java SE 6 and 7. This is NOT an implementation of JSR-310.,JSR-310に基づく機能のJava SE 6および7へのバックポート。これはJSR-310の実装ではありません。
tinkerpop/blueprints,https://github.com/tinkerpop/blueprints,k-nishiura,Utility,,,,,,,A Property Graph Model Interface (no longer active - see Apache TinkerPop),プロパティグラフモデルインターフェイス（アクティブではなくなりました-Apache TinkerPopを参照）
tomighty/tomighty,https://github.com/tomighty/tomighty,k-nishiura,Utility,,,,,,,Old Tomighty repo. For the new repos - please refer to: tomighty-osx and tomighty-windows,古いTomightyリポジトリ。新しいリポジトリについて-tomighty-osxおよびtomighty-windowsを参照してください
torakiki/pdfsam,https://github.com/torakiki/pdfsam,k-nishiura,Utility,Multimedia,,,,,,PDFsam - a desktop application to extract pages - split - merge - mix and rotate PDF files,PDFsam-ページを抽出するデスクトップアプリケーション-分割-マージ-PDFファイルの混合と回転
yandextaxitech/binaryprefs,https://github.com/yandextaxitech/binaryprefs,k-nishiura,Utility,,,,,,,Rapidly fast and lightweight re-implementation of SharedPreferences  which stores each preference in files separately - performs disk operations  via NIO with memory mapped byte buffers and works IPC (between processes).  Written from scratch.,各設定をファイルに個別に保存するSharedPreferencesの迅速かつ軽量な再実装-メモリマップドバイトバッファーでNIOを介してディスク操作を実行し、IPC（プロセス間）で動作します。ゼロから書かれました。
dashbuilder/dashbuilder,https://github.com/dashbuilder/dashbuilder,k-nishiura,Utility,,,,,,,Dashboard composition tooling based on the Uberfire framework,Uberfireフレームワークに基づいたダッシュボード構成ツール
actframework/actframework,https://github.com/actframework/actframework,k-nishiura,Web,,,,,,,An easy to use Java MVC server stack,使いやすいJava MVCサーバースタック
adamkewley/jobson,https://github.com/adamkewley/jobson,k-nishiura,Web,Development,Utility,,,,,A platform for transforming command-line applications into a job service.,コマンドラインアプリケーションをジョブサービスに変換するためのプラットフォーム。
airlift/airlift,https://github.com/airlift/airlift,k-nishiura,Web,Development,,,,,,Airlift framework for building REST services,RESTサービスを構築するためのAirliftフレームワーク
alfio-event/alf.io,https://github.com/alfio-event/alf.io,k-nishiura,Web,Financial,,,,,,alf.io - The open source ticket reservation system for conferences - trade shows - workshops - meetups,alf.io-会議用のオープンソースのチケット予約システム-展示会-ワークショップ-ミートアップ
aliyun/aliyun-openapi-java-sdk,https://github.com/aliyun/aliyun-openapi-java-sdk,k-nishiura,Web,Distribution,Programing,,,,,Alibaba Cloud SDK for Java,Alibaba Cloud SDK for Java
AmadeusITGroup/sonar-stash,https://github.com/AmadeusITGroup/sonar-stash,k-nishiura,Web,Development,,,,,,Stash (BitBucket) plugin - a pull-request decorator which allows to integrate SonarQube violations directly into your pull-request,Stash（BitBucket）プラグイン-SonarQube違反をプルリクエストに直接統合できるプルリクエストデコレータ
apache/cxf,https://github.com/apache/cxf,k-nishiura,Web,,,,,,,Apache CXF,Apache CXF
apache/james-project,https://github.com/apache/james-project,k-nishiura,Web,Financial,,,,,,Emails at the heart of your business logic!,ビジネスロジックの中心にあるメール！
apache/jena,https://github.com/apache/jena,k-nishiura,Web,Data,,,,,,Mirror of Apache Jena,Apache Jenaのミラー
apache/nutch,https://github.com/apache/nutch,k-nishiura,Web,,,,,,,Apache Nutch,アパッチ・ナッチ
apache/openmeetings,https://github.com/apache/openmeetings,k-nishiura,Web,Multimedia,Utility,,,,,Mirror of Apache Openmeetings,Apache Openmeetingsのミラー
apache/struts,https://github.com/apache/struts,k-nishiura,Web,Security,,,,,,Mirror of Apache Struts,Apache Strutsのミラー
apache/tomcat,https://github.com/apache/tomcat,k-nishiura,Web,Distribution,,,,,,Apache Tomcat,Apache Tomcat
apache/wicket,https://github.com/apache/wicket,k-nishiura,Web,,,,,,,Apache Wicket - Component-based Java web framework,Apache Wicket-コンポーネントベースのJava Webフレームワーク
appfuse/appfuse,https://github.com/appfuse/appfuse,k-nishiura,Web,Development,,,,,,AppFuse is a full-stack framework for building web applications on the JVM. Open source since 2003.,AppFuseは、JVM上でWebアプリケーションを構築するためのフルスタックフレームワークです。 2003年以降のオープンソース。
Aptoide/aptoide-client-v8,https://github.com/Aptoide/aptoide-client-v8,k-nishiura,Web,Android,,,,,,All the Apps you need. Discover your new Android App Store.,必要なすべてのアプリ。新しいAndroid App Storeを見つけてください。
ArcBees/GWTP,https://github.com/ArcBees/GWTP,k-nishiura,Web,Development,Multimedia,,,,,A complete model-view-presenter framework to simplify your next GWT project.,次のGWTプロジェクトを簡素化する完全なモデルビュープレゼンターフレームワーク。
authorjapps/zerocode,https://github.com/authorjapps/zerocode,k-nishiura,Web,Testing,,,,,,A community-developed - free - open source - declarative API automation and load testing framework built using Java JUnit core runners for Http REST - SOAP - Security - Database - Kafka and much more. It enables to create and maintain test-cases with absolute ease.,コミュニティ開発-無料-オープンソース-Http RESTのJava JUnitコアランナーを使用して構築された宣言型API自動化および負荷テストフレームワーク-SOAP-セキュリティ-データベース-Kafkaなどこれにより、テストケースの作成と保守が非常に簡単になります。
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java,k-nishiura,Web,Development,,,,,,The official AWS SDK for Java.,公式のAWS SDK for Java。
aws/aws-sdk-java-v2,https://github.com/aws/aws-sdk-java-v2,k-nishiura,Web,Development,,,,,,The official AWS SDK for Java - Version 2,公式のAWS SDK for Java-バージョン2
awslabs/amazon-kinesis-client,https://github.com/awslabs/amazon-kinesis-client,k-nishiura,Web,Multimedia,,,,,,Client library for Amazon Kinesis,Amazon Kinesisのクライアントライブラリ
AzimoLabs/Review-Reporter,https://github.com/AzimoLabs/Review-Reporter,k-nishiura,Web,Android,Operation,,,,,Bot for reporting Google Play Reviews on Slack with possibility to fast reply and creating Jira issues from low rating reviews.,SlackでGoogle Playのレビューを報告して、低評価のレビューからJiraの問題を迅速に返信し作成するボット。
bitstorm/Wicket-tutorial-examples,https://github.com/bitstorm/Wicket-tutorial-examples,k-nishiura,Web,Development,,,,,,This repo contains code examples for my personal Wicket tutorial,このレポには、私の個人的なWicketチュートリアルのコード例が含まれています
blynkkk/blynk-server,https://github.com/blynkkk/blynk-server,k-nishiura,Web,,,,,,,Blynk is an Internet of Things Platform aimed to simplify building mobile and web applications for the Internet of Things. Easily connect 400+ hardware models like Arduino - ESP8266 - ESP32 - Raspberry Pi and similar MCUs and drag-n-drop IOT mobile apps for iOS and Android in 5 minutes,Blynkは、モノのインターネット向けのモバイルおよびWebアプリケーションの構築を簡素化することを目的としたモノのインターネットプラットフォームです。 Arduinoなどの400以上のハードウェアモデル-ESP8266-ESP32-Raspberry Piおよび同様のMCUと、iOSおよびAndroid用のドラッグアンドドロップIOTモバイルアプリを5分で簡単に接続
boncey/Flickr4Java,https://github.com/boncey/Flickr4Java,k-nishiura,Web,Multimedia,,,,,,Java API For Flickr. Fork of FlickrJ,Flickr用のJava API。 FlickrJのフォーク
bonigarcia/webdrivermanager,https://github.com/bonigarcia/webdrivermanager,k-nishiura,Web,Operation,,,,,,Automatic management of Selenium WebDriver binaries,Selenium WebDriverバイナリの自動管理
borball/weixin-sdk,https://github.com/borball/weixin-sdk,k-nishiura,Web,,,,,,,微信公众平台(订阅号、服务号、企业号、小程序)、微信开放平台和微信支付 Java SDK,微信公众平台（订阅号、服務号、企业号、小手順）、微信開平台および微信支付Java SDK
caelum/vraptor,https://github.com/caelum/vraptor,k-nishiura,Web,Development,,,,,,Simple Java Web MVC Framework,シンプルなJava Web MVCフレームワーク
caelum/vraptor4,https://github.com/caelum/vraptor4,k-nishiura,Web,Development,,,,,,A web MVC action-based framework - on top of CDI - for fast and maintainable Java development.,Web MVCアクションベースのフレームワーク-CDIに加えて-高速で保守可能なJava開発。
cattong/YiBo,https://github.com/cattong/YiBo,k-nishiura,Web,,,,,,,A simple and fast weibo app -support Sina - Tencent - Twiiter - Netease -Soho...,シンプルで高速なweiboアプリ-サポートSina-Tencent-Twiiter-Netease -Soho ...
CeON/CERMINE,https://github.com/CeON/CERMINE,k-nishiura,Web,Multimedia,,,,,,Content ExtRactor and MINEr,コンテンツExtRactorおよびMINEr
chanjarster/weixin-java-tools,https://github.com/chanjarster/weixin-java-tools,k-nishiura,Web,Development,,,,,,微信公众号、企业号Java SDK,微信公众号、企业号Java SDK
cloudfoundry/cf-java-client,https://github.com/cloudfoundry/cf-java-client,k-nishiura,Web,Distribution,,,,,,Java Client Library for Cloud Foundry,Cloud Foundry用のJavaクライアントライブラリ
cloudinary/cloudinary_java,https://github.com/cloudinary/cloudinary_java,k-nishiura,Web,Multimedia,,,,,,Cloudinary Java Client Library,Cloudinary Javaクライアントライブラリ
code4craft/webmagic,https://github.com/code4craft/webmagic,k-nishiura,Web,,,,,,,A scalable web crawler framework for Java.,Java用のスケーラブルなWebクローラーフレームワーク。
codenvy/codenvy,https://github.com/codenvy/codenvy,k-nishiura,Web,Development,,,,,,Codenvy,コデンビー
CodeStory/fluent-http,https://github.com/CodeStory/fluent-http,k-nishiura,Web,,,,,,,This is the simplest fastest full fledged web server we could come up with.,これは、私たちが思いつくことができる最も単純で最速の本格的なWebサーバーです。
Comcast/cmb,https://github.com/Comcast/cmb,k-nishiura,Web,Operation,,,,,,This project is no longer actively supported. It is made available as read-only. A highly available - horizontally scalable queuing and notification service compatible with AWS SQS and SNS,このプロジェクトは積極的にサポートされなくなりました。読み取り専用として使用可能になります。高可用性-AWS SQSおよびSNSと互換性のある水平方向にスケーラブルなキューイングおよび通知サービス
confluentinc/kafka-rest,https://github.com/confluentinc/kafka-rest,k-nishiura,Web,Network,,,,,,Confluent REST Proxy for Kafka,KafkaのConfluent RESTプロキシ
crawljax/crawljax,https://github.com/crawljax/crawljax,k-nishiura,Web,,,,,,,Crawljax: Crawling Dynamic (JavaScript-based) Web Applications,Crawljax：動的な（JavaScriptベースの）Webアプリケーションのクロール
ctripcorp/hermes,https://github.com/ctripcorp/hermes,k-nishiura,Web,,,,,,,Message Queue Solution at Ctrip.com,Ctrip.comのメッセージキューソリューション
damianszczepanik/cucumber-reporting,https://github.com/damianszczepanik/cucumber-reporting,k-nishiura,Web,Operation,,,,,,HTML reports for Cucumber,CucumberのHTMLレポート
damnhandy/Handy-URI-Templates,https://github.com/damnhandy/Handy-URI-Templates,k-nishiura,Web,,,,,,,A Java URI Template processor implementing RFC6570,RFC6570を実装するJava URIテンプレートプロセッサ
dandelion/dandelion-datatables,https://github.com/dandelion/dandelion-datatables,k-nishiura,Web,Database,,,,,,Dandelion component for DataTables,DataTablesのタンポポコンポーネント
detro/ghostdriver,https://github.com/detro/ghostdriver,k-nishiura,Web,Network,,,,,,Ghost Driver is an implementation of the Remote WebDriver Wire protocol - using PhantomJS as back-end,Ghost Driverは、リモートWebDriver Wireプロトコルの実装です-バックエンドとしてPhantomJSを使用します
dhis2/dhis2-core,https://github.com/dhis2/dhis2-core,k-nishiura,Web,,,,,,,DHIS 2 Core. Written in Java. Contains the service layer and Web API.,DHIS 2コア。 Javaで書かれています。サービスレイヤーとWeb APIが含まれています。
DigitalPebble/storm-crawler,https://github.com/DigitalPebble/storm-crawler,k-nishiura,Web,,,,,,,Scalable web crawler based on Apache Storm,Apache Stormに基づくスケーラブルなWebクローラー
Discord4J/Discord4J,https://github.com/Discord4J/Discord4J,k-nishiura,Web,Operation,,,,,,A fast and reactive JVM-based REST/WS wrapper for the official Discord Bot API - written in Java,Javaで記述された公式Discord Bot API用の高速でリアクティブなJVMベースのREST / WSラッパー
domeos/server,https://github.com/domeos/server,k-nishiura,Web,Network,,,,,,This is the web server of domeos. QQ group: 257691628,これはdomeosのWebサーバーです。 QQグループ：257691628
dropbox/dropbox-sdk-java,https://github.com/dropbox/dropbox-sdk-java,k-nishiura,Web,,,,,,,A Java library for the Dropbox Core API.,Dropbox Core APIのJavaライブラリ。
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,k-nishiura,Web,Development,,,,,,A damn simple library for building production-ready RESTful web services.,本番用のRESTful Webサービスを構築するためのとてつもなくシンプルなライブラリ。
eclipse/jetty.project,https://github.com/eclipse/jetty.project,k-nishiura,Web,Development,Network,,,,,Eclipse Jetty® - Web Container & Clients - supports HTTP/2 - HTTP/1.1 - HTTP/1.0 - websocket - servlets - and more,EclipseJetty®-Webコンテナーおよびクライアント-HTTP / 2をサポート-HTTP / 1.1-HTTP / 1.0-websocket-サーブレットなど
eclipse/jgit,https://github.com/eclipse/jgit,k-nishiura,Web,Development,,,,,,JGit project repository (jgit),JGitプロジェクトリポジトリ（jgit）
edx/edx-app-android,https://github.com/edx/edx-app-android,k-nishiura,Web,Android,Document,,,,,The Open EdX mobile app for Android!,Android用のOpen EdXモバイルアプリ！
enonic/xp,https://github.com/enonic/xp,k-nishiura,Web,Data,,,,,,Enonic XP,Enonic XP
errai/errai,https://github.com/errai/errai,k-nishiura,Web,Development,,,,,,Errai,エライ
Erudika/para,https://github.com/Erudika/para,k-nishiura,Web,Middleware,,,,,,Open source back-end server for web - mobile and IoT. The backend for busy developers. (self-hosted or hosted),ウェブ用のオープンソースのバックエンドサーバー-モバイルとIoT。忙しい開発者のためのバックエンド。 （自己ホストまたはホスト）
ESAPI/esapi-java-legacy,https://github.com/ESAPI/esapi-java-legacy,k-nishiura,Web,Science,,,,,,ESAPI (The OWASP Enterprise Security API) is a free - open source - web application security control library that makes it easier for programmers to write lower-risk applications.,ESAPI（OWASP Enterprise Security API）は、無料のオープンソースのWebアプリケーションセキュリティコントロールライブラリであり、プログラマが低リスクのアプリケーションを簡単に作成できるようにします。
facebook/facebook-android-sdk,https://github.com/facebook/facebook-android-sdk,k-nishiura,Web,Android,,,,,,Used to integrate Android apps with Facebook Platform.,AndroidアプリをFacebook Platformと統合するために使用されます。
facebookarchive/linkbench,https://github.com/facebookarchive/linkbench,k-nishiura,Web,Performance,,,,,,Facebook Graph Benchmark,Facebookグラフベンチマーク
FasterXML/jackson-dataformats-binary,https://github.com/FasterXML/jackson-dataformats-binary,k-nishiura,Web,Data,,,,,,Uber-project for standard Jackson binary format backends: avro - cbor - protobuf - smile,標準のジャクソンバイナリフォーマットバックエンドのUberプロジェクト：avro-cbor-protobuf-smile
feuyeux/jax-rs2-guide,https://github.com/feuyeux/jax-rs2-guide,k-nishiura,Web,,,,,,,《Java Restful Web Service实战》源代码,《 Java Restful Web Service実战》ソース代码
feuyeux/jax-rs2-guide-II,https://github.com/feuyeux/jax-rs2-guide-II,k-nishiura,Web,,,,,,,《Java Restful Web Service实战 第二版》源代码,《 Java Restful Web Service実战第二版》ソース代码
firebase/firebase-android-sdk,https://github.com/firebase/firebase-android-sdk,k-nishiura,Web,Network,Android,,,,,Firebase Android SDK,Firebase Android SDK
